,User_name,Review title,Review Rating,Review date,Review_body
220,edwin-wks,A limp to the finish line,8/10,9 October 2021,"Squid Game deserves its hype overall but is still marred by glaring inconsistencies and poor story-telling. One can infer from the focus on Gi Hun as the protagonist that he would at least make it to the final game, if not win it. It would have been better had they given 10 mins in the first episode to tell the backstories of Gi Hun, Sang Woo, Sae Byeok, Ali, Deok Su and Mi Hyeon, so that it would appear each of them have an equal chance at winning. Seven more things that compromise the story are:1. The organ harvesters planned their entire operation down to the cremation furnace with a floor that dropped the coffin to a room below. Yet they did not arrange a surgeon to pose as a staff member and instead relied on a player to dissect the bodies in exchange for information about the next game.2. The Front Man is Jun Ho's missing older brother. You would think he could have just lied to his younger brother about his whereabouts and paid in advance for his rent. Why was he even renting a place or running Squid Game if he was the winner from 2015 and supposedly had all that prize money?3. With the conclusion of Game 5, the glass bridge is blown to tiny smithereens and the glass shard that hits Sae Byeok is the size of a kitchen knife?4. A less-than-convincing melee between Sang Woo and Gi Hun in the final game. Gi Hun is unable to finish the game and eliminate Sang Woo. Sang Woo suddenly finds his conscience and kills himself. This is completely inconsistent to the person who sacrificed anyone in his way to get ahead. What an anticlimax.5. Gi Hun mopes about due to survivor's guilt, leaving Sang Woo's mom saddled with her son's debt and Sae Byeok's brother languishing in the orphanage for a whole year.6. Squid Game started in 1988. Hundreds of people disappear from Seoul in the same month every year and it raises no eyebrows. Collective missing person reports would trigger police looking into CCTV footage of these people and they would come across footage of the Squid Games recruiters.7. The final scene sees Gi Hun turning away from boarding his flight to see his daughter in America. Presumably to try and get into the next Squid Games. How exactly? They know who he is and what he looks like. If he wishes to blow the lid on the game, he could have taken the card to the police, have them track down the original owner of the card and listen in as the invitee calls the Squid Game coordinator. End scene. Better set-up for season 2 instead of some irresponsible father letting his kid down again.
                
            
                    4 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
221,karimnn,Absolute garbage,1/10,9 October 2021,"I watched two episodes and I had enough. There's nothing here, terrible acting, unoriginal concept (I've seen a half dozen movies that resemble this series). I honestly do not understand what the hype is about, the only thing I can guess is that the producers and Netflix paid a huge amount of money to market this show. I see a LOT of Stanley Kubrik wanna be here, from the masks (Eyes Wide Shut), the music (On the Beautiful Blue Danube) the surrealism (The Shining), the gore (A Clockwork Orange), and there is nothing wrong with being influenced or even try to imitate art, however this series is simply too weak and Kubrik's imitation is a failure in my opinion. If anyone is impressed by this then they must be watching reality TV all day long.
                
                    11 out of 26 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
222,doubtitall,Extremely good dark action thriller except for one major flaw.,8/10,19 September 2021,"The main character is a foolish, clueless, impulsive, emotionally self-indulgent jerk.Other characters, flawed but fundamentally good people, die getting him back to the real world with that 45.6B won (~40M USD), but what does he do for the first year of having all that money? Does he help any of the loved ones left behind by those people who died getting him there with all that money?No, he leaves them all hanging, suffering for another year in the circumstances that were so bad it caused those good people who died saving him to go into and then back into that bloody Hell to try to save them.And then what does he do when he decides to go after the people behind the game? He calls them up and threatens them, making sure they know he's an enemy to be removed.He's a very unpleasant, impulsive and judgmental fool. Fortunately, although he's clearly the main character from start to finish, he doesn't dominate too much screen time, and there are plenty of other characters to enjoy watching .... although they pretty much all die.
                
            
                    48 out of 81 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
223,a_filmcritter,"artistic storytelling, visual masterpiece",9/10,24 September 2021,"Pros: acting, art direction, visuals, detailed storytelling
Cons: filler scenesWith more than a decade in making, Director Hwang Dong-hyuk has nailed this series, possibly allowing for more Korean creators to explore this genre.The acting by many of the characters in the show has been phenomenal. Their backstories were believable and emotional because of the emotions they conveyed (if being watched with original Korean audio + English subtitles, instead of English dub).The artistic design throughout the movie was aesthetically pleasing and creative as color choices in many scenes are intentionally done. And with that being said, the attention to detail carries this show beautifully.The only complaints while watching were the filler scenes; making the show feel as though it's dragging at some points. Some complained about the acting of the VIPs, but I think that was intentionally done by the creators."
224,ronaldmpofu,"Good show but the ending sucked balls , Pardon my French.",7/10,30 September 2021,"If you are looking for a happy ending look elsewhere. The ending was meeeeeh but just give it a try. Great acting here.
                
                    0 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
225,abhijeetjeetubest,Predictable!,4/10,2 October 2021,"The series uses recurring theme of anime like jujutsu kaisen, btooom and movie like Tournament, Gun Akimbo; tries to put together set of events which are predictable and characters which you cannot relate to. And to make that happen there is very stupid premise of VIPs and debt for which people are ready to kill and die for.
                
                    5 out of 8 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
226,lanycera,The last 3 episodes didn't conclude it well.,7/10,9 October 2021,"I have to agree with others: I really didn't like the last three episodes and the wrap-up was dissatisfying. ""Gganbu"" was one of the strongest episodes in an emotional perspective, yet the last episodes tracked back with the reveal of the ""one"" behind everything on one of the most interesting relationships they set up through the entirety of the show.They also left one of the most interesting characters who had so much potential completely behind, Sae-byeok, and completely invalidated the sacrifice of Ji-yeong and the impact of their scene - which was a shame.The VIP's were stereotypes, horrible actors, and extremely unnecessary. I hated every second on screen they appeared and their absolutely dumb commentary.Up until Episode 7, I would have given it a 9 or 10. Episode 7 onwards was a 4 for me. 10+4 / 2 = 7 stars overall.
                
            
                    3 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
227,hydralien-40230,Pointlessly bloody,4/10,4 October 2021,"It's hard to understand the killing by numbers appeal - it's expressive and shocking and bizarre, but mass-murder is mass-murder. Whatever the plot, it's just unnecessary and fairly uninventive after first shot - once you understand the game rules and one person breaks them and gets shot, the rest is the same dull murderous routine for another 5 minutes.At the same time it's hard to sympathise thieves and gamblers - their lifestyle is by no means a death verdict, but they're not a relatable bunch either. Plus the acting is terrible, maybe save the old man, the Indian guy and the masked folks as long as they're wearing the masks.Cinematography good though, and maybe there's a great reveal up ahead - but I'm very reluctant to go past episode 3 for the reasons above.
                
                    9 out of 14 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
228,dtlacey78,I don't get it.....,3/10,10 October 2021,"I really don't get the hype. Done 5 episodes now and find it all rather boring.Maybe I was expecting too much when someone told me it similar to Battle Royale....?
                
                    3 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
229,TinyThoughts,Totally bingeworthy.,8/10,4 October 2021,"Terrible VIPs and second to last episode was trash, but in whole it's great, recommend to watch.
                
                    2 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
230,sanjeevanwar,Dark and intense,9/10,11 October 2021,"Anwar Says : Last week, there was absolutely nothing to watch on Hindi OTT and I decided to go for much talked about Squid Game on Netflix, a Korean dark and disturbing series. 9 long episodes and would force you for a binge watch.You have everything in the plot , childhood games , killing, inhumanity, hatred , emotions, sentiments , and above all mind game . Out of 456 contestants, all down with debts are ready to sacrifice their lives to earn money, sounds a familiar subject but the Netflix team has converted it to unnerving deadly battle.Premise is simple and the characters are introduced quite fast but smoothly. If you loose you are killed and your guessing is not correct every time. Don't want to be a spoiler, so not narrating the story and the games .The lead Lee Jung- Jae gets answers to all his questions in the last episode.Watch the series with sub- titles on , in spite of the fact the dubbing in English is of quality par excellence . The masked jump- suits used by the guards are going to be the favourite this Halloween . Already running at top spot since a fortnight.9 out of 10 from me .#Nerflix
#anwarsays
#SquidGame
#koreanseries
#LeeJungJae
#review
#webseries
#childhoodgames."
231,DANTEfromDMC,GREAT SHOW BUT VERY POOR ACTING,8/10,3 October 2021,"Overrall it is a good show and the only concern i had was the acting it felt so cringy and annoying at the same time and i skipped so many scenes bcz of very poor acting.
                
                    0 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
232,Mr_Avenger,Too much violence,3/10,9 October 2021,"I saw this drama cause I am a Kdrama lover .But it was not for me. From the first till the last episode was reproduced violence in every way. Sexual, verbal ,physical, just plain, coarse ,cruel and bloody-minded violence. Absolutely not reccomended to everyone under the age of 18.Regarding the plot , there was some parts with no reason. For example the whole story about the policeman was just unnecessary as he was not involved with the main characters.In my opinion only the last episode tried to ""save"" the whole disturbing face of the drama showing a more human side , and giving the moral message that money don't bring happiness.
                
                    0 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
233,siennacolucci,they were lesbians and they were in LOVE,9/10,11 October 2021,"Literally gave this a 9/10 all because of how intensely obsessed i am with 067 and 240. That's it and that's all.
                
                    2 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
234,PriestMarmore,Definitely a must watch if you haven't,9/10,11 October 2021,"Firsts things first, the series is really well made and has a very well thought and written story.Speaking of story, this one was super realistic in regards to what would happen if such a situation were to happen, the only 2 problems I had were thinking of a way someone could be that rich to afford such facilities and to buy a island for themselves while keeping everything unsuspicious. Talking about unsuspicious, problem number 2 is how would 456 be kidnapped and no one would notice? Other than that I have no other critic to the story, well done, realistic and interesting.Image wise it is as impressive as a series gets. The sceneries are beautifully well made. Interesting camera angles for a series as well.Lastly I want to point something out, a technicality that I noticed (and like I noticed this one I might have missed many others or there might not even exist any other, I don't know). When they are at the Tug of War, when a team loses they all fall down the bridge. I also noticed that it takes a few seconds for the blade to cut the rope. If putted the pieces together then shouldn't the winning team fall down the bridge as well duo to the massive weight difference, especially when it's a team with 3 women vs one full of men and the team with the women wins (meaning the team with only men is heavier)?To finish, the series is not perfect but it is pretty damn high up there.
                
            
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
235,suego-49293,"The story is intriguing, the dubbing is very poor",6/10,25 September 2021,"I think if I spoke Korean and could watch this without it being dubbed, I would probably love it and give it at least 9 starts. But the dubbing is bad and the dialogue is amateurish. I'm guessing they have to make the English words fit the time frame of the actor's mouths moving and maybe because of that it is not a direct translation and that is why it is often so bad. But beyond that, the voice actors doing the dubbing are often pretty flat in their delivery. So while this is an intriguing watch, it is marred by the voice actors doing the dubbing (and the writers who I think could have done better with the dialogue).
                
                    2 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
236,harshdubey-03287,"Unique & out of the league, but...",9/10,5 October 2021,"This show shows us the hypocrite nature of humans and how they can turn into monsters when the things come to money & self life.But at some instances the plot was predictable like in E2 (voting stops at 100-100 and the last man will decide the result), the front man turns to be the police officers brother and the last episode ended at such an anti-climatic note (sang woo kills himself for what? After returning from game Gi hun forgets about his daughter for whom he wants to be a good father)
                
            
                    3 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
237,nalindra-ferdinando,Great show!!!!,9/10,2 October 2021,"Despite the moody grim nature of the show it manages to pull off great thrills, human drama and most importantly hope and an ending that satisfies giving hope to its viewers. It doesn't try to be ultra realistic or end on a depressing grim note which is why I loved this show!!!
                
                    1 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
238,mick118,Entertaining but slow and poor plot,6/10,20 September 2021,"This has budget, making for some entertaining scenes, but the plot is quite poor, many parts didn't make sense, too much of it down to luck and it's very predictable. The characters' back stories are uninteresting, there's not much character development. It's average at best for the genre.
                
                    24 out of 34 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
239,tavives,Not really getting what some others are seeing in this.,3/10,11 October 2021,"This is a very strange series. It's like a cross between Logan's Run, The Hunger Games, Lost, Lord of the Flies (not to mention M. C. Escher) and a number of other dystopian books/movies that have come out over time. I grant that the way the story is told is somewhat original, and as an example of Korean drama, I suppose it gets a few points for raising that profile....But seriously...WTF!!!!!The dialogue, is addition to being almost juvenile at times, is made even more excruciating by the absolutely horrible, over the top, beyond melodramatic delivery by both the original Korean actors and the those doing the English dub. But even the scenes in English (the VIPS) was ridiculous, so while this may be intended and a normal quality of Korean cinema, it doesn't automatically make it good or even ok. My score of 3 is almost exclusively due to this. It made the show nearly unwatchable. Maybe this makes more sense in the original Korean and would have been better served by English subtitles. I don't know.I also question the premise for the show in the first place. Yeah, times are tough, but would people really be that morally depraved? After the first round when they were allowed to leave, I find it difficult to believe that anyone would come back no matter how difficult their situation was on the outside. And how could anyone ever possibly emotionally separate their ""winnings"" from how they were acquired? And while the ""1 year later"" epilogue does cover this to some extent, I mean really, what kind of horrible, sad, miserable life is Gi-hun going to have? Obviously they're planning a second season, so maybe we'll find out more, but I don't think I really care .Also, as we learn more about the operation of the contest itself, more questions arise. First you wonder how they explain all the deaths. Then when you realize they are harvesting organs, you have to ask why a sudden influx of supposedly anonymous organ donations wouldn't be questioned by someone. And wouldn't there be a sudden flurry of missing persons reported that the authorities would be looking into? I get it. It's a fantasy dystopian thing, but I was unable to suspend my disbelief on this point.However, I liked the creepy use of Tchaikowsky's waltz from ""Serenade for Strings"", Strauss's ""Blue Danube"" and ""Fly Me to the Moon"" and found it to be one of the more interesting aspects.But again, seriously......WTF!!!P. S. How again is the game court supposed to look like a squid?
                
            
                    1 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
240,tracy-97320,EPIC tv show,10/10,3 October 2021,"Thoroughly enjoyed this show, waaaay out there, but so out there it was truly captivating!
                
                    3 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
241,georgewhittingham1,Good show - super over hyped though,8/10,3 October 2021,"This is a good show; the concept is good, the acting from the main cast is solid, it deserves to be watched by the masses.But; it's not a great show... it has some plot holes, as well as some terrible acting by the American characters (I won't include any spoilers, but I guarantee you'll know what I mean)All I've seen these past few weeks is the serious hype surrounding the show, and as someone who is a bit of a film buff, it needed an honest review. Go watch it, you'll enjoy it, but please don't claim it as the best show ever.
                
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
242,Money4Nothing,Overhyped,6/10,8 October 2021,"Ok first and foremost hear me out, it's Jigsaw but made in a larger environment, with bigger budget and more techy stuff, with same poorly executed and barely noticeable subtle society criticism. Is it watchable? Yes it is. Is it ground breaking, revolutionary, never seen before kind of story that people will remember and passionately talk about even 10 years from now; like the overhype wants you to believe? Absolutely not. Acting is probably the worst part of this show, characters are hard to believe and sympathize with with almost no character development, the way you see them in the first episode is the way they stay for the rest of it... All in all, for people who for some reason tend to fetishize Korean production and for people who want to be up to date with what TikTok is talking about this is a must watch, for everyone else watch if you want but even if you skip it you're not missing anything.
                
            
                    5 out of 9 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
243,brucecsnow,Shocks and pulls you in,9/10,26 September 2021,"Standard down on their luck beginning of characters, then the storyline quickly goes into overdrive with many social mores broken.I guessed the ending but the reason I don't give this 10/10 is the last episode is somewhat muddled. The angst and actions of the main character is weakly explained.
                
                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
244,cjmoviebuff,Loved this!!,10/10,19 September 2021,"Absolutely brilliant! Loved it from start to finish, excellent acting (apart from the American actors at the end! Dreadful) Great story, had me hooked.. binged watched the lot!Looks like they'll be a second series which I can't wait to see! Superb.
                
                    27 out of 40 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
245,xeniamd-35210,Intense!,9/10,26 September 2021,"Intense. Massively intense!!!Games. Choices. Money. Decision.Oh what a twist! Salute to the Scriptwriter and Director, Hwang Dong-hyuk!Cheers to all the actors! It made me scream and cry!9.5/10#SquidGame.
                
                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
246,Cyniphile,"I was wondering if the acting was bad, or if it was lost in Korean...",5/10,8 October 2021,"...But then I saw the American actors that play a role and I knew that all the acting was really bad.Starts off shocking and kinda intriguing and fades into being dumb and boring. Had a hard time paying attention by the end.
                
                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
247,jack-39973,Why the hype??,8/10,30 September 2021,"Squid Game is a solid show but that's it. I don't know why there is such a hype about it. This show is just a few weeks old but already overrated...
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
248,mattcurtis-50459,46 Billion Squid,9/10,20 September 2021,"With a premise similar to the likes of Cube and Circle, the odd titled Squid Game helps us question humanity all over again as well as the importance society places on money.As dark and violent as Battle Royal and intriguing as 3% it grabs your attention early on and keeps you guessing to the end.Great binge worthy series with a likeable cast and main protagonist.Knocked off one point as I didn't love the ending but otherwise a really great TV series with some great ideas and worthy of top marks.Season 2? Personally I think it works better as a one off but then again...
                
                    4 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
249,ebtsamryad,SAW rip off,1/10,28 September 2021,"It started good but end up pretentious.There were many things left unexplained like
1- the videos were already sent to police .2- how did the cop's brother become a master and for what .3- there were people who's supposed to take the MC kidney, but somehow and even though he never paid them back ( since he never used the money ) after a year , he still had his kidneys .4- I don't remember how many players were there but how did they manage to split into groups of tens. It doesn't make any sense .5- the cop that was shot, the body will be found and even if it didn't , he would still be remain missing, which is a huge problem since he's a cop not just a citizen.6- when the old man told his assistant to excuse him from watching the game with the vips and wanted to play with the players, the vips only watched the glass game and the old man was expelled earlier so this doesn't make sense eitherI don't know what is it with Korean drama but they always mess it up , they start good but finish badly , the acting the story line , the plot holes .My god every time they show us the English speakers characters , I just want to throw up . The whole scene , the decorations , who the heck thought of that , why ruin it .And I must finish with , if you're gonna watch this , you should watch the movie serie saw instead , it's better anyway , since this was a huge rip off.I wished that the girl would have won .. and that the MC would have ended just as greedy and betrayer as others , it would be a better story line and very unexpected since she was only a side character .
                
            
                    29 out of 61 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
250,zachary-68690,This is one of my favourite Korean shows now.,8/10,21 September 2021,"The premise and aesthetic of the show had me hooked already. Lots of mystery. Love-able and hate-able characters. The ""games"" they play are always intense and you hope your favourites survive.It was quite emotional too, there's times where you have to be deceitful to your allies.Really great show all round. Although the VIP's had atrocious acting when they were introduced around EP 7. Really took me out the immersion for an episode.Other than that it was amazing, I love Korean shows and you don't get many on Netflix, so I hope the show does well so we see more.TL;DRIt's great, watch it."
251,tpcatoz-90650,"A pleasant, thrilling surprise",9/10,6 October 2021,"When I first started Squid Game I didn't expect much. Just something to pass time at work. After the first two episodes I was hooked. The show is thrilling and makes your heart beat increase. I highly recommend watching if you are looking to have some entertainment for a couple hours.
                
                    3 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
252,mahraj,No geniuses here.. Underwhelming and predictable,2/10,10 October 2021,"The messages of this series were too negative. The topics have been done before, but this series shows worse versions of the topics.Nearly everything was predictable. Stupid decisions are made. Don't understand what all the hype was about. Won't be watching the second season. If any.
                
                    0 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
253,skanklover_69,Saw meets Oldboy in a nutshell,10/10,29 September 2021,"Sorry. That's a crude summation of this brilliant series. It's a brutal, tense satire on the economic systems we are all trapped in. Would those who lose most at the game, who gamble and get into debt far beyond what they can repay as wage slaves, would they risk their lives to be free? Of course; they would play the Squid Game.Motivations and characters are carefully fleshed out. The concept of the games we play as children having life & death consequences in adult life is intelligently, deviously developed. It combines quality, international art house drama style with thrills & bloody horror. If you're ready for something challenging and intense play the Squid Game.
                
                    4 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
254,indiana1981,Slightly overrated,6/10,4 October 2021,"This show isn't as amazing as everyone is making it out to be. It's definitely entertaining to watch, but it doesn't have any more substance to it than that. Maybe because I've watched this after the ""raging hype"", but I personally don't think this is a new concept at all.The acting is decent and it's filmed well, but my rating went down from 7 to 6, due to the explanation we're given as to why the games exist in the first place.Perhaps a lot of the viewers haven't seen Battle Royal and generation Z have only just discovered violent asian cinema.
                
                    4 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
255,NixSar,A hole in search of a plot,4/10,5 October 2021,"It could have been great - human selfishness exposed through worst excesses of capitalism, emotional struggles and ridiculously tough life and death choices, great sets, plenty of villains and drama.Instead, it is so unbelievably full of plot holes that it could only work as a parody, perhaps even really well. Unfortunately, Squid Game takes itself more seriously than a 19th century psychiatrist. It oozes heaviness and deep philosophy that its clownishly overacting cast (VIPs are the least of the show's problems) just cannot bear out.
                
                    3 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
256,pjkblue-35926,BLAHHHH...,3/10,30 September 2021,"I've watched a ton of Korean series and films and to say this was good is overstating.The premise, the storylines are nothing new, it's been done a lot over the years.Just has more CGI Bells and Whistles.Sorry, but I can't recommend this slop.Easy to figure out that The Front Man was the cop's brother...
Lots of blood and headshots...
I was stunned that the bathroom sex scene was there...
None of the characters made you actually like them or pull for them...
If they make another season...that's punishment enough.
                
            
                    6 out of 15 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
257,toxarbb,"Great ""shoot"" Korea",9/10,27 September 2021,"This serie could be on the top so many years.Variety of games, colors, act, scenes, suspense and even reality, who knows? Jaja.Great 1st episope at the half of it starts the action
2nd one was like... oh no are they gonna leave the games??Later on the games are spot on and the only downside is the end. Although we know for sure it will be 2nd season.Just waiting for that.
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
258,ASBKnight,Meh ...,1/10,25 September 2021,"I remember watching Korean films back in the day and they had .. something. These days it seems they copy American style with a bit of a twist, but still disappointing.In episode 4, they make a huge plot mistake which makes no sense (food, without spoiling too much).This show is like news media... using something to shock you, to get you to watch, but no quality or depth to it.
                
                    60 out of 118 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
259,Snownoise,A satire of korean society and nostalgia,7/10,17 September 2021,"5th episode is in, so far I haven't seen a higher level of violence and gore that I was expecting to see. It's a survival game genre TV show, but it hasn't been living up to its premise yet. Also, the show has a lot of side stories, so if one was expecting to see a simple kill and run show, then they will probably find this show boring. Lastly, the show is full of korean cultural references which can also be a boring factor for many viewers. It's simply because people can't understand what's going on and have more questions rather than enjoying the thrills of the ride. Overall, the show is entertaining and enjoyable. It still drew me to the 5th episode straight. But again It would have been nicer if it had more actions unless the show was originally intended as a social commentary. One more thing, it was really nice to see an indian actor as one of the main characters in the show. I know It's not a lot, but still it adds a lot of positive effects in the show.
                
                    8 out of 22 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
260,mungunbayarbatbayar,New standard/Great,9/10,26 September 2021,"Koreans now to the Emmy awards. Great, surprising.But ending is disappointing. Maybe It's because of there's another season ..
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
261,nikhilnssn,2hr movie converted to 9hr series,5/10,29 September 2021,"Good theme, but story developed in a bad way. POOR DIRECTION
Idle for 2hr movie release than that of an 9episode series.
                
                    4 out of 10 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
262,gabby-1234,You have to watch it,10/10,3 October 2021,"I did not expect it to be so good! This series shows the depths of human behavior, reminded me for a moment Black Mirror.Just watch and you won't regret it. I'm becoming a fan of Korean movies and series. They know how to do the job.Wonderful script, Intriguing,funny, touching and frightening All at once.
                
                    3 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
263,bangotti,Another gem from South Korea,9/10,30 September 2021,"I agree with others about the VIPs acting and line being awful. I watched it dubbed in English, so it could be translation, or voice acting that went awry. Otherwise the dub was quite good(well for dub standards). I think I'll be watching it a second time with just subtitles.South Korean cinema has become so popular in the West because it carries a certain gravitas and detail many western movies lack these days. I'm far from a film buff who looks forward to Tribeca or Sundance, but I can confidently say there is a distinct discipline displayed in South Korean films and shows. From the emotions on display by talented actors, to scripts that rely more on showing over telling, to the amazing seeds sown early that lead to payoffs later. And it's all wrapped up in great cinematography.Squid Game is no different. It might not reach the heights of OldBoy or Parasite or even I saw the Devil, and is a little more predictable. But it is a must watch for fans of South Korean films."
264,ambisai,"""Hell"" that you will ""love""",9/10,17 September 2021,"If you have seen hostel ....then this series is just 100000000 times BETTER!!!!Unbelievable , thrill that gives you chill and makes you shrill !!!!The scenes are prolific that it stems SHOCK & AWE !MUST WATCH.
                
                    21 out of 43 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
265,atharvagosavi-45998,Lack of one thing only!,9/10,9 October 2021,"I think this series is great and different experience for all the entertainment lovers.. Only lacks at emotional elements cause i think it would be great if they develop more moments..
Otherwise this is entertaining at many portions.. Stretched at some portions.. Thrilling at time.. Horror in elements and emotional in parts!!
                
                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
266,shirlone,could have been better,5/10,27 September 2021,"Good idea for a show but poor execution of it, totally overrated.
                
                    4 out of 9 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
267,burgerman93,Quality show and extremely suspenseful,8/10,11 October 2021,"One would think that a miniseries centered around a gameshow would be stale after a while, but this series is top notch. I did think some elements of the story were hard to grasp, however the show was suspenseful and included an interesting range of characters.The only downside for me was the finale. I would have expected more character development from GiHun.
                
            
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
268,rajashakaziz,Outstanding,8/10,25 September 2021,"I was hooked into the series right from the start. It has a good plot and getting to know the main character. From there it is a blast. Some people may find it disturbing, but it is a part if the show. You will have to watch it. Only down side is the last episode.
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
269,madden-brad,Watch with subtitles not dub :-),8/10,10 October 2021,"Good show. Interesting characters. Well produced. Stellar acting.
                
                    1 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
270,blankyblank,It started great but got predictable and was wrapped up too quickly,8/10,9 October 2021,"First six episodes are great - excellent introduction of characters and how they got here, careful world-building, clever and shocking games with increasing suspense up to episode 6 which is the peak of the showBy episode 7 there are about 20 players left, with a couple of ""important"" characters. That's where the show goes downhill:the fifth game is almost entirely luck based and running order practically determines who will pass. It also weeds out a lot of players giving us finalists out of nowhere-the winner is predictable and almost all uncertainties are removed prior to the final game, that confrontation felt empty
VIPS are abomination and ruin these last 3 episodes by a lotThe cop - lost brother plot resolved in a very underwhelming wayFront man is still a mystery - how he got to that position and why, his only redeeming quality is cool maskThe host and the grand scheme are also very underwhelming and predictablethe 1 year later epilogue is just depressing, maybe that was the intentionAll in all, I feel it could've been better. It's like they've run out of ideas towards the end."
271,ramosaral,What do people see in this?,3/10,10 October 2021,"I fail to see what got people so hyped about this. It is slow, veeeeryyy predictable, characters not relatable at all, long winded bathetic (yes that is a word) scenes, borderline annoying characters, no skill or smarts needed only luck, very poorly written ""twists"" that fail to be twists and so on... This is a huuuggeee disappointment.
                
                    2 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
