Player Name,Season,Statistic,Variable,Value
Michael Bradley,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),177.7
Geoff Ogilvy,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),177.7
Jerod Turner,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),177.7
Jeff Maggert,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),177.8
Chris Riley,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),177.8
Rod Pampling,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),177.9
Vaughn Taylor,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),177.9
Shaun Micheel,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),178.2
Bob Estes,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),178.5
Spencer Levin,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),178.5
Aron Price,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),178.5
Woody Austin,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),178.7
Michael Sim,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),178.7
Zach Johnson,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),179.1
Jason Dufner,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),179.2
Mark Wilson,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),179.2
Briny Baird,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),179.3
Ernie Els,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),179.4
David Duval,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),179.5
Ben Crane,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),179.6
J.P. Hayes,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),179.6
John Mallinger,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),179.6
Heath Slocum,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),179.6
Stephen Ames,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),179.7
K.J. Choi,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),179.7
Brett Quigley,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),179.7
Ian Poulter,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),179.8
Chris DiMarco,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),180
Dean Wilson,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),180.3
Jerry Kelly,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),180.4
Steve Stricker,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),180.4
Charlie Wi,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),180.4
Rocco Mediate,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),180.5
Garrett Willis,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),180.5
Michael Connell,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),180.6
D.A. Points,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),180.7
Johnson Wagner,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),180.7
Tim Petrovic,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),180.9
Justin Bolli,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),181
Brian Davis,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),181.3
Trevor Immelman,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),181.3
Vance Veazey,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),181.3
Scott Verplank,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),181.4
Justin Leonard,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),181.6
Ryuji Imada,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),181.7
Brent Delahoussaye,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),181.9
Skip Kendall,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),181.9
Kevin Na,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),181.9
Jason Bohn,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),182.2
Brandt Snedeker,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),182.2
Kevin Johnson,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),182.3
Greg Chalmers,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),182.4
Chad Collins,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),182.9
Nathan Green,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),183
Richard Johnson,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),183.4
Tom Pernice Jr.,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),183.6
Bryce Molder,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),183.9
Greg Kraft,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),184.2
Steve Flesch,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),184.5
Jim Furyk,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),184.6
Ben Curtis,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),184.8
Alex Cejka,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),184.9
Tim Clark,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),185.6
Jeff Quinney,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),185.8
Omar Uresti,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),186.3
Paul Goydos,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),186.4
Mike Weir,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),187.6
Luke Donald,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),188.5
Brian Gay,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),189
Craig Bowden,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),190.7
Brad Faxon,2010,Average Distance to Hole After Tee Shot,Average Distance to Hole After Tee Shot - (AVG),191.7
Luke Donald,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$6,683,214 "
Webb Simpson,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$6,579,853 "
Matt Kuchar,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$5,846,420 "
Nick Watney,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$5,482,673 "
Gary Woodland,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$4,967,757 "
Keegan Bradley,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$4,957,933 "
K.J. Choi,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$4,684,024 "
Bill Haas,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$4,347,137 "
Dustin Johnson,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$4,309,961 "
Steve Stricker,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$4,245,285 "
Justin Rose,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$4,148,920 "
Jason Day,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$4,117,647 "
Bo Van Pelt,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$4,013,921 "
Adam Scott,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$3,984,797 "
David Toms,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$3,972,090 "
Hunter Mahan,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$3,921,040 "
Phil Mickelson,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$3,763,488 "
Brandt Snedeker,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$3,732,206 "
Bubba Watson,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$3,674,061 "
Freddie Jacobson,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$3,583,325 "
Mark Wilson,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$3,458,977 "
Jason Dufner,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$3,239,526 "
Charl Schwartzel,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$3,210,892 "
Aaron Baddeley,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$3,157,193 "
Jonathan Byrd,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$3,152,087 "
Martin Kaymer,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$3,052,459 "
Martin Laird,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$3,039,009 "
Rory McIlroy,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$3,019,193 "
Zach Johnson,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$2,823,406 "
Rory Sabbatini,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$2,723,655 "
Charles Howell III,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$2,611,723 "
Vijay Singh,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$2,546,050 "
John Senden,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$2,544,811 "
Brendan Steele,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$2,396,810 "
Spencer Levin,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$2,388,038 "
Chez Reavie,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$2,370,567 "
Rickie Fowler,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$2,362,806 "
Kevin Na,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$2,336,965 "
Y.E. Yang,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$2,314,865 "
Jhonattan Vegas,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$2,284,914 "
Tommy Gainey,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$2,242,191 "
Scott Stallings,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$2,138,037 "
D.A. Points,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$2,117,406 "
Ryan Palmer,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$2,025,530 "
Steve Marino,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,975,076 "
Chris Kirk,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,962,627 "
Bryce Molder,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,957,944 "
Geoff Ogilvy,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,952,494 "
Lucas Glover,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,943,827 "
Ryan Moore,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,942,906 "
Tiger Woods,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,940,238 "
Robert Karlsson,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,843,315 "
Jeff Overton,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,840,962 "
Jerry Kelly,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,803,964 "
Darren Clarke,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,798,828 "
Ben Crane,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,794,095 "
Graeme McDowell,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,785,148 "
Jim Furyk,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,758,440 "
Robert Allenby,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,697,567 "
Camilo Villegas,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,688,293 "
Brandt Jobe,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,629,764 "
Sean O'Hair,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,618,948 "
Cameron Tringale,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,592,807 "
Carl Pettersson,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,590,223 "
Kyle Stanley,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,586,657 "
J.B. Holmes,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,538,583 "
Sergio Garcia,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,524,091 "
Charley Hoffman,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,508,091 "
Robert Garrigus,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,503,923 "
George McNeill,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,458,110 "
Ian Poulter,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,422,426 "
Jimmy Walker,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,421,556 "
Brian Davis,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,417,509 "
Lee Westwood,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,396,946 "
Paul Goydos,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,385,328 "
Harrison Frazar,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,378,767 "
John Rollins,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,370,566 "
Kris Blanks,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,350,010 "
Brendon de Jonge,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,349,326 "
Kevin Chappell,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,339,640 "
Andres Romero,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,313,133 "
Kevin Streelman,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,300,006 "
Anders Hansen,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,298,567 "
Pat Perez,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,295,253 "
Scott Piercy,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,250,957 "
Paul Casey,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,248,720 "
Trevor Immelman,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,245,604 "
Johnson Wagner,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,224,556 "
Scott Verplank,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,194,178 "
Charlie Wi,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,188,494 "
Chad Campbell,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,185,899 "
Brian Gay,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,157,525 "
Davis Love III,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,156,300 "
Anthony Kim,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,155,846 "
Ricky Barnes,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,109,587 "
Blake Adams,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,100,558 "
Chris Stroud,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,096,499 "
Ernie Els,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,080,872 "
Stewart Cink,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,076,037 "
Justin Leonard,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,055,462 "
Hunter Haas,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$1,039,987 "
Ryuji Imada,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$990,319 "
Troy Matteson,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$946,989 "
Briny Baird,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$942,286 "
Nick O'Hern,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$940,224 "
Michael Bradley,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$935,934 "
Michael Thompson,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$935,265 "
Chris Couch,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$922,496 "
Louis Oosthuizen,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$920,965 "
Marc Leishman,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$916,330 "
Tim Herron,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$909,135 "
Retief Goosen,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$896,360 "
J.J. Henry,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$873,377 "
David Hearn,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$869,072 "
Francesco Molinari,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$862,387 "
Alex Cejka,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$857,402 "
Chris DiMarco,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$843,807 "
Greg Chalmers,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$832,191 "
Stuart Appleby,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$816,150 "
Tom Gillis,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$814,147 "
Padraig Harrington,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$802,839 "
Billy Mayfair,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$780,578 "
Arjun Atwal,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$770,237 "
Josh Teater,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$769,324 "
Kevin Stadler,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$768,172 "
Heath Slocum,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$767,216 "
Peter Hanson,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$762,780 "
James Driscoll,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$741,010 "
Bud Cauley,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$735,150 "
Thomas Bjorn,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$730,239 "
Joe Ogilvie,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$726,866 "
David Mathis,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$715,404 "
John Merrick,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$704,789 "
Sung Kang,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$702,382 "
Bobby Gates,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$699,235 "
Tom Pernice Jr.,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$694,981 "
Matt Bettencourt,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$692,545 "
Roland Thatcher,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$671,371 "
Angel Cabrera,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$670,579 "
Rod Pampling,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$668,768 "
D.J. Trahan,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$668,166 "
Edoardo Molinari,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$655,224 "
K.T. Kim,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$639,809 "
Bill Lunde,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$639,548 "
Steven Bowditch,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$626,378 "
Bob Estes,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$619,104 "
Matt Jones,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$607,392 "
Miguel Angel Jimenez,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$601,223 "
Alvaro Quiros,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$600,817 "
Steve Flesch,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$594,622 "
Matt McQuillan,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$582,933 "
Ryo Ishikawa,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$580,136 "
Tim Clark,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$571,000 "
William McGirt,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$557,933 "
Stephen Ames,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$547,589 "
Billy Horschel,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$533,024 "
Garrett Willis,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$526,390 "
Scott McCarron,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$508,770 "
Shane Bertsch,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$493,584 "
Cameron Beckman,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$455,085 "
Vaughn Taylor,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$449,741 "
Adam Hadwin,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$440,752 "
Tim Petrovic,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$428,011 "
Henrik Stenson,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$427,799 "
Zack Miller,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$427,341 "
Ben Curtis,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$423,466 "
Jason Bohn,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$411,943 "
David Duval,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$405,654 "
Dean Wilson,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$401,314 "
Ross Fisher,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$399,885 "
Michael Putnam,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$398,400 "
Jim Renner,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$397,945 "
Chris Riley,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$397,204 "
Mark Calcavecchia,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$389,096 "
Tag Ridings,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$387,670 "
Fabian Gomez,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$381,730 "
Fred Couples,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$371,081 "
Kent Jones,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$365,624 "
Matteo Manassero,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$361,283 "
Boo Weekley,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$361,197 "
Richard Green,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$360,102 "
Joe Durant,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$358,790 "
Kenny Perry,2011,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"$358,718 "
