rank,Game,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,mechanic,Area Control,Dice Rolling,Variable Player Powers,Partnerships,Set Collection,Hand Management,Deck,Tile Placement,Simulation,Storytelling,Memory,Player Elimination,Role Playing,Press Your Luck,owned,category,Environmental,Medical,Card Game,Civilization,Economic,Fantasy,Puzzle,TV/Movie/Radio,War,Horror,Murder/Mystery,Party Game,Trivia,Racing,Territory Building,Adventure,Dice
176,Hive,2,2,20,20,20,2001,7.34027,7.2289,20269,9,"Grid Movement, Tile Placement",0,0,0,0,0,0,0,1,0,0,0,0,0,0,25472,"Abstract Strategy, Animals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Takenoko,2,4,45,45,45,2011,7.35087,7.22586,20331,8,"Dice Rolling, Grid Movement, Modular Board, Pattern Building, Set Collection, Tile Placement",0,1,0,0,1,0,0,1,0,0,0,0,0,0,30435,"Animals, Environmental, Farming, Territory Building",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
178,Notre Dame,2,5,75,45,75,2007,7.39637,7.22492,9959,10,"Area Control / Area Influence, Card Drafting, Point to Point Movement",1,0,0,0,0,0,0,0,0,0,0,0,0,0,9685,"Economic, Renaissance",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
179,Neuroshima Hex!,1,4,30,30,30,2006,7.44703,7.22406,9888,13,"Hand Management, Hex-and-Counter, Player Elimination, Tile Placement, Variable Player Powers",0,0,1,0,0,1,0,1,0,0,0,1,0,0,10049,"Fighting, Science Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Space Hulk (third edition),2,2,60,60,60,2009,7.56682,7.22336,5892,12,"Action Point Allowance System, Dice Rolling, Grid Movement, Modular Board",0,1,0,0,0,0,0,0,0,0,0,0,0,0,8324,"Fighting, Miniatures, Science Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Risk Legacy,3,5,60,60,60,2011,7.5682,7.22186,5577,13,"Area Movement, Card Drafting, Dice Rolling, Player Elimination, Variable Player Powers",0,1,1,0,0,0,0,0,0,0,0,1,0,0,9458,"Dice, Science Fiction, Wargame",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
182,Rococo,2,5,120,60,120,2013,7.58077,7.21855,4601,12,"Area Control / Area Influence, Card Drafting, Deck / Pool Building, Hand Management, Set Collection",1,0,0,0,1,1,1,0,0,0,0,0,0,0,5919,"Age of Reason, Economic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
183,In the Year of the Dragon,2,5,100,75,100,2007,7.41705,7.21822,8298,12,"Hand Management, Variable Phase Order",0,0,0,0,0,1,0,0,0,0,0,0,0,0,7004,"Economic, Medieval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
184,Acquire,3,6,90,90,90,1964,7.35736,7.21771,15301,12,"Hand Management, Stock Holding, Tile Placement",0,0,0,0,0,1,0,1,0,0,0,0,0,0,18855,Economic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
185,Glass Road,1,4,75,75,75,2013,7.49524,7.21571,5919,13,"Card Drafting, Set Collection, Simultaneous Action Selection, Tile Placement, Variable Phase Order",0,0,0,0,1,0,0,1,0,0,0,0,0,0,7262,"City Building, Economic, Medieval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
186,Dune,2,6,180,60,180,1979,7.61598,7.21567,4586,12,"Area Control / Area Influence, Area Movement, Auction/Bidding, Hand Management, Partnerships, Variable Player Powers",1,0,1,1,0,1,0,0,0,0,0,0,0,0,5330,"Bluffing, Fighting, Negotiation, Novel-based, Political, Science Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,King of Tokyo,2,6,30,30,30,2011,7.30268,7.21386,37037,8,"Area Control / Area Influence, Card Drafting, Dice Rolling, Player Elimination, Press Your Luck",1,1,0,0,0,0,0,0,0,0,0,1,0,0,51916,"Dice, Fighting, Movies / TV / Radio theme, Science Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
188,Civilization,2,7,360,360,360,1980,7.52272,7.21153,6205,12,"Area Control / Area Influence, Area Movement, Hand Management, Set Collection, Trading",1,0,0,0,1,1,0,0,0,0,0,0,0,0,8371,"Ancient, Civilization, Economic, Negotiation",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
189,Trickerion: Legends of Illusion,2,4,180,60,180,2015,7.84651,7.20894,2651,14,"Action Point Allowance System, Simultaneous Action Selection, Tile Placement, Worker Placement",0,0,0,0,0,0,0,1,0,0,0,0,0,0,5366,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Sheriff of Nottingham,3,5,60,60,60,2014,7.34641,7.20681,15518,13,"Card Drafting, Hand Management, Role Playing, Set Collection",0,0,0,0,1,1,0,0,0,0,0,0,1,0,24379,"Bluffing, Card Game, Humor, Medieval, Negotiation, Novel-based, Party Game",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
191,Tikal,2,4,90,90,90,1999,7.34469,7.20671,13778,13,"Action Point Allowance System, Area Control / Area Influence, Auction/Bidding, Grid Movement, Set Collection, Tile Placement",1,0,0,0,1,0,0,1,0,0,0,0,0,0,16464,"Exploration, Territory Building",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
192,Deception: Murder in Hong Kong,4,12,20,20,20,2014,7.57019,7.20351,4750,14,"Partnerships, Storytelling",0,0,0,1,0,0,0,0,0,1,0,0,0,0,7493,"Bluffing, Deduction, Murder/Mystery, Party Game, Spies/Secret Agents",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
193,Champions of Midgard,2,4,90,60,90,2015,7.70552,7.2001,3508,10,"Dice Rolling, Set Collection, Worker Placement",0,1,0,0,1,0,0,0,0,0,0,0,0,0,5579,"Adventure, Dice, Fantasy, Fighting, Medieval, Mythology",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
194,Indonesia,2,5,240,180,240,2005,7.77196,7.19913,2725,14,"Area Control / Area Influence, Auction/Bidding, Pick-up and Deliver, Stock Holding",1,0,0,0,0,0,0,0,0,0,0,0,0,0,3244,"Economic, Industry / Manufacturing, Transportation",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195,Kanban: Automotive Revolution,2,4,120,90,120,2014,7.78686,7.19831,2844,12,"Action Point Allowance System, Commodity Speculation, Variable Phase Order, Worker Placement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4179,"Economic, Industry / Manufacturing",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
196,Telestrations,4,8,30,30,30,2009,7.44007,7.19273,6938,12,"Line Drawing, Paper-and-Pencil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9857,"Humor, Party Game, Real-time",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
197,Saint Petersburg,2,4,60,45,60,2004,7.33514,7.19132,12469,10,"Card Drafting, Set Collection",0,0,0,0,1,0,0,0,0,0,0,0,0,0,10612,"Age of Reason, Card Game, Economic",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
198,San Juan,2,4,60,45,60,2004,7.29711,7.19113,18849,10,"Hand Management, Set Collection, Variable Phase Order",0,0,0,0,1,1,0,0,0,0,0,0,0,0,20193,"Card Game, City Building, Economic",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
199,Inis,2,4,90,60,90,2016,7.82525,7.18995,2977,14,"Area Control / Area Influence, Area Movement, Card Drafting, Hand Management, Memory, Modular Board, Tile Placement",1,0,0,0,0,1,0,1,0,0,1,0,0,0,4618,"Ancient, Card Game, Mythology",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Arkham Horror,1,8,240,120,240,2005,7.34784,7.18293,30293,12,"Co-operative Play, Dice Rolling, Hand Management, Point to Point Movement, Role Playing, Variable Player Powers",0,1,1,0,0,1,0,0,0,0,0,0,1,0,38493,"Adventure, Fantasy, Fighting, Horror, Novel-based",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
201,Survive: Escape from Atlantis!,2,4,60,60,60,1982,7.32998,7.18251,13875,8,"Action Point Allowance System, Dice Rolling, Grid Movement, Memory, Modular Board, Secret Unit Deployment",0,1,0,0,0,0,0,0,0,0,1,0,0,0,19725,"Adventure, Animals, Bluffing, Nautical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
202,Ticket to Ride: M_rklin,2,5,60,30,60,2006,7.41442,7.1822,7760,8,"Card Drafting, Hand Management, Point to Point Movement, Route/Network Building, Set Collection",0,0,0,0,1,1,0,0,0,0,0,0,0,0,9410,"Trains, Transportation, Travel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,A Few Acres of Snow,2,2,120,60,120,2011,7.44478,7.18078,6271,14,"Area Control / Area Influence, Card Drafting, Deck / Pool Building, Hand Management, Point to Point Movement",1,0,0,0,0,1,1,0,0,0,0,0,0,0,8122,"Age of Reason, American Indian Wars, Card Game, Territory Building, Wargame",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
204,The Pillars of the Earth,2,4,120,90,120,2006,7.31965,7.18018,13196,12,Worker Placement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14556,"Economic, Medieval, Novel-based, Religious",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
205,One Night Ultimate Werewolf,3,10,10,10,10,2014,7.35829,7.17573,11474,8,"Role Playing, Variable Player Powers, Voting",0,0,1,0,0,0,0,0,0,0,0,0,1,0,18327,"Bluffing, Card Game, Deduction, Horror, Party Game",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
206,Macao,2,4,100,50,100,2009,7.44148,7.16879,5813,12,"Action Point Allowance System, Card Drafting, Dice Rolling, Hand Management, Pick-up and Deliver, Route/Network Building, Set Collection",0,1,0,0,1,1,0,0,0,0,0,0,0,0,5993,"Dice, Nautical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
207,Blood Bowl: Team Manager ? The Card Game,2,4,90,90,90,2011,7.38831,7.16764,8222,14,"Area Control / Area Influence, Card Drafting, Deck / Pool Building, Dice Rolling, Hand Management",1,1,0,0,0,1,1,0,0,0,0,0,0,0,10918,"Card Game, Fantasy, Fighting, Sports",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
208,Onitama,2,2,30,10,30,2014,7.64716,7.16621,3649,8,Grid Movement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6531,Abstract Strategy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,At the Gates of Loyang,1,4,120,60,120,2009,7.38834,7.16297,7225,10,"Card Drafting, Set Collection",0,0,0,0,1,0,0,0,0,0,0,0,0,0,9036,"Economic, Farming",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
210,BattleLore,2,2,60,60,60,2006,7.40169,7.1601,8647,10,"Campaign / Battle Card Driven, Dice Rolling, Grid Movement, Hand Management, Modular Board, Variable Player Powers",0,1,1,0,0,1,0,0,0,0,0,0,0,0,10105,"Fantasy, Medieval, Miniatures, Wargame",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
211,Earth Reborn,2,4,180,180,180,2010,7.77494,7.15994,2867,13,"Action Point Allowance System, Card Drafting, Dice Rolling, Grid Movement, Hand Management, Modular Board, Secret Unit Deployment",0,1,0,0,0,1,0,0,0,0,0,0,0,0,5339,"Adventure, Bluffing, Fighting, Miniatures, Science Fiction, Spies/Secret Agents, Zombies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
212,Maria,2,3,210,210,210,2009,7.97172,7.15828,1944,14,"Hand Management, Point to Point Movement, Secret Unit Deployment, Simulation",0,0,0,0,0,1,0,0,1,0,0,0,0,0,2712,"Age of Reason, Negotiation, Political, Wargame",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
213,Lancaster,2,5,60,60,60,2011,7.48513,7.15672,4855,10,"Area Control / Area Influence, Auction/Bidding, Voting, Worker Placement",1,0,0,0,0,0,0,0,0,0,0,0,0,0,5526,Medieval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Quadropolis,2,4,60,30,60,2016,7.47865,7.15472,5379,8,"Card Drafting, Hand Management, Pattern Building, Set Collection, Tile Placement",0,0,0,0,1,1,0,1,0,0,0,0,0,0,7561,"City Building, Environmental",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Mansions of Madness,2,5,120,120,120,2011,7.39256,7.15422,10679,13,"Area Movement, Dice Rolling, Hand Management, Modular Board, Partnerships, Pick-up and Deliver, Role Playing, Variable Player Powers",0,1,1,1,0,1,0,0,0,0,0,0,1,0,15578,"Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle",0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0
216,Fresco,2,4,60,60,60,2010,7.33748,7.15252,8932,10,"Action / Movement Programming, Grid Movement, Set Collection, Simultaneous Action Selection, Worker Placement",0,0,0,0,1,0,0,0,0,0,0,0,0,0,10579,Renaissance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Antiquity,2,4,180,120,180,2004,7.83456,7.15214,2235,14,"Modular Board, Tile Placement, Trading",0,0,0,0,0,0,0,1,0,0,0,0,0,0,2277,"City Building, Civilization, Economic, Environmental, Medieval",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
218,Blood Bowl (Third Edition),2,2,180,180,180,1994,7.57248,7.15199,4519,12,"Dice Rolling, Grid Movement, Variable Player Powers",0,1,1,0,0,0,0,0,0,0,0,0,0,0,5495,"Fantasy, Fighting, Miniatures, Sports, Wargame",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
219,1775: Rebellion,2,4,120,60,120,2013,7.82451,7.1497,2407,10,"Area Movement, Campaign / Battle Card Driven, Dice Rolling, Partnerships, Variable Player Powers",0,1,1,1,0,0,0,0,0,0,0,0,0,0,3614,"Age of Reason, American Indian Wars, American Revolutionary War, Educational, Wargame",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
220,Roads & Boats,1,4,240,240,240,1999,7.76132,7.14921,2508,14,"Grid Movement, Line Drawing, Modular Board, Pick-up and Deliver, Route/Network Building",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3469,"City Building, Civilization, Economic, Industry / Manufacturing, Transportation",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
221,Lord of the Rings: The Confrontation,2,2,30,30,30,2005,7.5109,7.14742,4573,14,"Area Movement, Hand Management, Secret Unit Deployment, Simultaneous Action Selection, Variable Player Powers",0,0,1,0,0,1,0,0,0,0,0,0,0,0,5616,"Adventure, Bluffing, Deduction, Fantasy, Movies / TV / Radio theme, Novel-based",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
222,Modern Art,3,5,45,45,45,1992,7.30402,7.14594,11497,10,"Auction/Bidding, Commodity Speculation, Hand Management",0,0,0,0,0,1,0,0,0,0,0,0,0,0,11834,"Card Game, Economic",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
223,Sentinels of the Multiverse,1,5,60,30,60,2011,7.35069,7.14332,11159,8,"Co-operative Play, Hand Management, Variable Player Powers",0,0,1,0,0,1,0,0,0,0,0,0,0,0,16309,"Card Game, Comic Book / Strip, Fighting",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,London,2,4,90,90,90,2010,7.42016,7.1415,5518,13,"Card Drafting, Hand Management",0,0,0,0,0,1,0,0,0,0,0,0,0,0,5315,"City Building, Economic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
225,Forbidden Desert,2,5,45,45,45,2013,7.28102,7.14147,15039,10,"Action Point Allowance System, Co-operative Play, Grid Movement, Modular Board, Pick-up and Deliver, Set Collection, Variable Player Powers",0,0,1,0,1,0,0,0,0,0,0,0,0,0,25859,"Adventure, Fantasy, Science Fiction",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
226,Glen More,2,5,70,45,70,2010,7.36049,7.14113,7155,10,"Commodity Speculation, Dice Rolling, Grid Movement, Set Collection, Tile Placement, Time Track",0,1,0,0,1,0,0,1,0,0,0,0,0,0,7273,"City Building, Economic, Farming",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
227,Amun-Re,3,5,90,90,90,2003,7.36286,7.13589,7247,12,"Area Control / Area Influence, Auction/Bidding",1,0,0,0,0,0,0,0,0,0,0,0,0,0,7131,"Ancient, Economic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
228,Flash Point: Fire Rescue,1,6,45,45,45,2011,7.27523,7.13576,13945,10,"Action Point Allowance System, Co-operative Play, Dice Rolling, Grid Movement, Pick-up and Deliver, Simulation, Variable Player Powers",0,1,1,0,0,0,0,0,1,0,0,0,0,0,21527,Adventure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
229,Descent: Journeys in the Dark,2,5,240,240,240,2005,7.34612,7.13413,10325,12,"Dice Rolling, Grid Movement, Modular Board, Partnerships, Role Playing, Variable Player Powers",0,1,1,1,0,0,0,0,0,0,0,0,1,0,12324,"Adventure, Exploration, Fantasy, Fighting, Miniatures",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
230,Cthulhu Wars,3,4,120,90,120,2015,8.03196,7.13271,2149,14,"Action Point Allowance System, Area Movement, Dice Rolling, Variable Player Powers",0,1,1,0,0,0,0,0,0,0,0,0,0,0,2921,"Fantasy, Fighting, Horror, Miniatures",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
231,Pandemic: The Cure,2,5,30,30,30,2014,7.41477,7.13109,5813,8,"Co-operative Play, Dice Rolling, Hand Management, Point to Point Movement, Press Your Luck, Set Collection, Variable Player Powers",0,1,1,0,1,1,0,0,0,0,0,0,0,0,9162,"Dice, Environmental, Medical",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
232,Nippon,2,4,120,60,120,2015,7.82854,7.12619,2233,12,"Area Control / Area Influence, Variable Phase Order",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2840,"Economic, Industry / Manufacturing",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
233,Pathfinder Adventure Card Game: Rise of the Runelords ? Base Set,1,4,90,90,90,2013,7.34846,7.12569,9710,13,"Co-operative Play, Deck / Pool Building, Dice Rolling, Hand Management, Role Playing",0,1,0,0,0,1,1,0,0,0,0,0,1,0,15121,"Adventure, Card Game, Fantasy, Fighting",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
234,Star Realms: Colony Wars,2,2,20,20,20,2015,7.972,7.12502,1922,12,Deck / Pool Building,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5519,"Card Game, Science Fiction",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Hanabi,2,5,25,25,25,2010,7.21159,7.1235,24175,8,"Co-operative Play, Hand Management, Memory, Set Collection",0,0,0,0,1,1,0,0,0,0,1,0,0,0,38811,"Card Game, Deduction, Memory",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,Bruxelles 1893,2,5,125,50,125,2013,7.65945,7.12306,2922,13,"Auction/Bidding, Card Drafting, Modular Board, Worker Placement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439,Economic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
237,Catan,3,4,120,60,120,1995,7.26105,7.1201,68505,10,"Dice Rolling, Hand Management, Modular Board, Route/Network Building, Trading",0,1,0,0,0,1,0,0,0,0,0,0,0,0,96783,Negotiation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Kingsburg,2,5,90,90,90,2007,7.23978,7.11815,15328,13,"Dice Rolling, Worker Placement",0,1,0,0,0,0,0,0,0,0,0,0,0,0,14748,"City Building, Dice, Fantasy, Medieval",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
239,Small World Underground,2,5,90,30,90,2011,7.37057,7.11696,7160,8,"Area Control / Area Influence, Area Movement, Dice Rolling, Variable Player Powers",1,1,1,0,0,0,0,0,0,0,0,0,0,0,11454,"Fantasy, Fighting, Territory Building",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
240,Heroscape Master Set: Rise of the Valkyrie,2,4,90,90,90,2004,7.42045,7.11661,6952,8,"Dice Rolling, Grid Movement, Modular Board",0,1,0,0,0,0,0,0,0,0,0,0,0,0,10832,"Adventure, Fantasy, Fighting, Miniatures, Science Fiction",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
241,For Sale,3,6,20,20,20,1997,7.22318,7.11634,15776,8,"Auction/Bidding, Hand Management",0,0,0,0,0,1,0,0,0,0,0,0,0,0,18455,"Card Game, Economic",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
242,Amerigo,2,4,90,90,90,2013,7.50537,7.11059,3970,10,"Action Point Allowance System, Grid Movement, Modular Board, Tile Placement",0,0,0,0,0,0,0,1,0,0,0,0,0,0,5425,"Nautical, Renaissance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Burgle Bros.,1,4,90,90,90,2015,7.66609,7.10937,2914,12,"Action Point Allowance System, Co-operative Play, Dice Rolling, Grid Movement, Modular Board, Variable Player Powers",0,1,1,0,0,0,0,0,0,0,0,0,0,0,5877,"Exploration, Maze, Spies/Secret Agents",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Vinhos,2,4,135,60,135,2010,7.54125,7.10899,3639,12,"Area Control / Area Influence, Worker Placement",1,0,0,0,0,0,0,0,0,0,0,0,0,0,4114,"Economic, Industry / Manufacturing",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
245,Egizia,2,4,90,90,90,2009,7.45772,7.10807,4358,12,"Card Drafting, Time Track, Worker Placement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3586,"Ancient, Farming",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,A Game of Thrones: The Card Game (Second Edition),2,4,120,60,120,2015,7.90418,7.10392,2303,14,"Card Drafting, Hand Management, Simultaneous Action Selection, Variable Player Powers",0,0,1,0,0,1,0,0,0,0,0,0,0,0,4550,"Card Game, Collectible Components, Fantasy, Fighting, Medieval, Negotiation, Novel-based",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
247,Archipelago,1,5,240,30,240,2012,7.42586,7.10255,5199,14,"Area Control / Area Influence, Auction/Bidding, Commodity Speculation, Modular Board, Tile Placement, Trading, Worker Placement",1,0,0,0,0,0,0,1,0,0,0,0,0,0,7214,"Civilization, Economic, Exploration, Nautical, Negotiation, Renaissance",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
248,Innovation,2,4,60,45,60,2010,7.25699,7.10212,10984,12,"Hand Management, Variable Phase Order",0,0,0,0,0,1,0,0,0,0,0,0,0,0,14065,"Card Game, Civilization",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Tiny Epic Galaxies,1,5,30,30,30,2015,7.39268,7.10124,6129,14,"Area Control / Area Influence, Dice Rolling, Variable Player Powers",1,1,1,0,0,0,0,0,0,0,0,0,0,0,11338,"Dice, Science Fiction, Space Exploration",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
250,Thunderstone Advance: Towers of Ruin,1,5,90,60,90,2012,7.50539,7.10023,4091,12,"Card Drafting, Deck / Pool Building, Hand Management",0,0,0,0,0,1,1,0,0,0,0,0,0,0,6401,"Card Game, Fantasy",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
251,Time's Up! Title Recall!,4,18,60,60,60,2008,7.78935,7.1,2188,12,"Acting, Memory, Partnerships",0,0,0,1,0,0,0,0,0,0,1,0,0,0,3268,"Humor, Movies / TV / Radio theme, Party Game",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
252,Hammer of the Scots,2,2,180,120,180,2002,7.5682,7.09512,3403,12,"Area Movement, Area-Impulse, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Secret Unit Deployment, Simultaneous Action Selection",0,1,0,0,0,1,0,0,0,0,0,0,0,0,4334,"Medieval, Wargame",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
253,Legends of Andor,2,4,90,60,90,2012,7.32719,7.09174,7987,10,"Area Movement, Co-operative Play, Dice Rolling, Variable Player Powers",0,1,1,0,0,0,0,0,0,0,0,0,0,0,13433,"Adventure, Fantasy, Fighting, Puzzle",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
254,Firefly: The Game,1,5,240,120,240,2013,7.41363,7.09082,7017,13,"Area Movement, Card Drafting, Dice Rolling, Pick-up and Deliver, Take That, Trading, Variable Player Powers",0,1,1,0,0,0,0,0,0,0,0,0,0,0,12793,"Movies / TV / Radio theme, Science Fiction, Space Exploration, Travel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Airlines Europe,2,5,75,75,75,2011,7.37697,7.08707,5444,10,"Card Drafting, Route/Network Building, Set Collection, Stock Holding",0,0,0,0,1,0,0,0,0,0,0,0,0,0,6459,"Aviation / Flight, Economic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
256,Shadows of Brimstone: City of the Ancients,1,4,120,120,120,2014,8.0417,7.08501,2126,12,"Co-operative Play, Dice Rolling, Grid Movement, Modular Board, Role Playing, Variable Player Powers",0,1,1,0,0,0,0,0,0,0,0,0,1,0,4523,"Adventure, American West, Exploration, Fighting, Horror, Miniatures",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
257,Commands & Colors: Napoleonics,2,2,90,90,90,2010,7.96702,7.08383,1828,14,"Campaign / Battle Card Driven, Dice Rolling, Hand Management, Hex-and-Counter, Modular Board",0,1,0,0,0,1,0,0,0,0,0,0,0,0,3384,"Napoleonic, Wargame",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
258,Colt Express,2,6,40,30,40,2014,7.23679,7.08226,12243,10,"Action / Movement Programming, Hand Management, Memory, Modular Board, Take That, Variable Player Powers",0,0,1,0,0,1,0,0,0,0,1,0,0,0,17619,"American West, Fighting, Trains",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,Libertalia,2,6,45,45,45,2012,7.26551,7.08206,9015,14,"Hand Management, Set Collection, Simultaneous Action Selection, Variable Phase Order",0,0,0,0,1,1,0,0,0,0,0,0,0,0,10888,"Card Game, Pirates",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,Star Wars: Destiny,2,2,30,30,30,2016,8.14419,7.08158,1814,10,"Dice Rolling, Hand Management, Variable Player Powers",0,1,1,0,0,1,0,0,0,0,0,0,0,0,3292,"Collectible Components, Dice, Fighting, Movies / TV / Radio theme, Science Fiction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
261,Spartacus: A Game of Blood & Treachery,3,4,150,150,150,2012,7.4791,7.08151,4771,17,"Auction/Bidding, Betting/Wagering, Dice Rolling, Grid Movement, Hand Management, Trading, Variable Player Powers",0,1,1,0,0,1,0,0,0,0,0,0,0,0,6181,"Ancient, Fighting, Movies / TV / Radio theme, Negotiation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Biblios,2,4,30,30,30,2007,7.24614,7.08149,10096,10,"Auction/Bidding, Card Drafting, Hand Management, Memory, Press Your Luck, Set Collection",0,0,0,0,1,1,0,0,0,0,1,0,0,0,12980,"Card Game, Economic, Medieval, Religious",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
